source_id,categories,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
631,Breakfast,Spicy Chicken Biscuit,153,450,22,8,0,40,1570,44,3,5,19
10147,Breakfast,Chick-fil-A Chick-n-Minis®,127,360,13,4,0,60,1060,41,2,8,20
10149,Breakfast,4 ct Chick-fil-A Chick-n-Minis®,127,360,13,4,0,60,1060,41,2,8,20
38480,Breakfast,10 ct Chick-fil-A Chick-n-Minis®,318,910,34,10,0,150,2640,103,6,19,49
10150,Breakfast,Egg White Grill,172,300,8,4,0,65,990,29,1,2,27
10152,Breakfast,Hash Brown Scramble Burrito,304,700,40,12,0.5,415,1770,51,3,2,34
10154,Breakfast,Hash Brown Scramble Burrito w/ Nuggets,304,700,40,12,0.5,415,1770,51,3,2,34
10155,Breakfast,Hash Brown Scramble Burrito w/  Sausage,283,720,47,16,0.5,395,1450,46,3,1,28
10157,Breakfast,Hash Brown Scramble Burrito w/ Grilled Filet,301,650,36,12,0.5,420,1630,46,3,2,35
10159,Breakfast,Hash Brown Scramble Burrito w/ Spicy Chicken,322,740,42,13,0.5,420,2020,53,4,2,37
10160,Breakfast,Hash Brown Scramble Burrito w/ Bacon,271,680,42,14,0.5,395,1630,46,3,2,30
10161,Breakfast,Hash Brown Scramble Burrito w/ No Meat,251,580,34,11,0.5,330,1200,47,5,1,22
10162,Breakfast,Hash Brown Scramble Burrito w/ Nuggets - no hash browns,261,550,30,11,0.5,415,1530,38,2,2,33
10163,Breakfast,Hash Brown Scramble Burrito w/ Sausage - no hash browns,240,570,37,14,0.5,395,1200,34,2,1,26
10164,Breakfast,Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,258,500,26,10,0.5,420,1380,34,2,2,34
10165,Breakfast,Hash Brown Scramble Burrito w/ Spicy Chicken - no hash browns,279,590,32,11,0.5,420,1770,40,2,2,36
10166,Breakfast,Hash Brown Scramble Burrito w/ Bacon - no hash browns,228,540,32,13,0.5,395,1230,34,2,2,27
10167,Breakfast,Hash Brown Scramble Burrito w/ No Meat - no hash browns,208,440,24,10,0.5,330,950,35,3,1,21
10168,Breakfast,Hash Brown Scramble Bowl,233,470,30,9,0,415,1350,19,2,2,29
10170,Breakfast,Hash Brown Scramble Bowl w/ Nuggets,233,470,30,9,0,415,1350,19,2,2,29
10171,Breakfast,Hash Brown Scramble Bowl w/ Sausage,212,480,37,12,0,395,1020,15,2,1,23
10173,Breakfast,Hash Brown Scramble Bowl w/ Grilled Filet,230,410,26,8,0,420,1200,15,2,2,30
10174,Breakfast,Hash Brown Scramble Bowl w/ Spicy Chicken,251,500,32,9,0,420,1590,21,3,2,32
10175,Breakfast,Hash Brown Scramble Bowl w/ Bacon,200,450,32,11,0,395,1060,15,2,2,23
10176,Breakfast,Hash Brown Scramble Bowl w/ No Meat,180,350,24,8,0,330,770,16,3,1,17
10177,Breakfast,Hash Brown Scramble Bowl w/ Nuggets - no hash browns,190,320,20,8,0,415,1100,7,0,2,28
10179,Breakfast,Hash Brown Scramble Bowl w/ Sausage - no hash browns,169,340,27,11,0,395,780,2,0,1,21
10180,Breakfast,Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,187,270,16,7,0,420,960,2,0,2,29
10181,Breakfast,Hash Brown Scramble Bowl w/ Spicy Chicken - no hash browns,208,350,22,8,0,420,1340,9,1,2,31
10182,Breakfast,Hash Brown Scramble Bowl w/ Bacon - no hash browns,158,300,22,10,0,395,810,2,0,2,22
10183,Breakfast,Hash Brown Scramble Bowl w/ No Meat - no hash browns,137,200,14,6,0,330,530,3,2,1,16
10184,Breakfast,"Chicken, Egg & Cheese Biscuit",211,550,28,12,0,215,1870,48,3,7,27
10186,Breakfast,"Bacon, Egg & Cheese Biscuit",145,420,23,11,0,180,1220,38,2,4,15
10188,Breakfast,"Sausage, Egg & Cheese Biscuit",192,620,42,18,0,205,1510,38,2,4,22
10190,Breakfast,"Chicken, Egg & Cheese Muffin",187,410,18,6,0,215,1320,36,1,4,27
10192,Breakfast,"Bacon, Egg & Cheese Muffin",126,300,13,6,0,180,780,28,1,2,16
10194,Breakfast,"Sausage, Egg & Cheese Muffin",173,490,32,13,0,205,1000,29,1,1,23
10196,Breakfast,Hash Browns,77,270,18,2.5,0,0,440,23,3,0,3
10198,Breakfast,Small Hash Browns,77,270,18,2.5,0,0,440,23,3,0,3
10199,Breakfast,Large Hash Browns,121,420,29,4,0,0,700,35,4,0,4
10200,Breakfast | Sides,Berry Parfait,206,270,9,3.5,0,20,85,35,1,26,13
10202,Breakfast | Sides,Berry Parfait w/ Cookie Crumbs,195,240,8,3.5,0,20,85,31,1,25,12
10204,Breakfast | Sides,Berry Parfait w/ Granola,206,270,9,3.5,0,20,85,35,1,26,13
10207,Breakfast | Sides,Fruit Cup,125,70,0,0,0,0,0,16,2,12,1
10209,Breakfast | Sides,Small Fruit Cup,107,60,0,0,0,0,0,14,2,11,1
10210,Breakfast | Sides,Medium Fruit Cup,125,70,0,0,0,0,0,16,2,12,1
10211,Breakfast | Sides,Large Fruit Cup,215,120,0,0,0,0,0,28,4,21,1
10212,Breakfast,Breakfast Breads,81,290,15,6,0,0,760,37,2,4,4
10214,Breakfast,Buttery Biscuit,81,290,15,6,0,0,760,37,2,4,4
10215,Breakfast,English Muffin,58,140,1,0,0,0,190,27,1,1,5
10216,Breakfast,4 ct Mini Yeast Rolls,70,240,8,2.5,0,20,450,36,2,7,6
39847,Breakfast,Chick-fil-A® Chicken Biscuit,153,460,23,8,0,45,1510,45,2,6,19
600,Entrées,Spicy Deluxe Sandwich,259,540,26,8,0,85,1880,47,2,7,34
10300,Entrées,Spicy Deluxe Sandwich w/ Pepper Jack,259,540,26,8,0,85,1880,47,2,7,34
10301,Entrées,Spicy Deluxe Sandwich w/ American,252,510,23,6,0,80,1970,47,2,7,31
10303,Entrées,Spicy Deluxe Sandwich w/ Colby Jack,259,540,26,8,0,85,1880,47,2,7,34
10304,Entrées,Spicy Deluxe Sandwich w/ No Cheese,238,460,19,4,0,65,1730,46,2,7,28
613,Entrées,Chick-fil-A Chick-n-Strips®,136,310,14,2.5,0,75,870,16,0,2,29
10329,Entrées,2 ct Chick-fil-A Chick-n-Strips®,91,200,9,2,0,50,580,11,0,1,19
